Type,Buy Amount,Buy Cur.,Sell Amount,Sell Cur.,Fee Amount,Fee Cur.,Exchange,Trade Group,Comment,Date
Deposit,2.100000,ALGO,,,,,WLWW...3UFI,,NHNGOWC7CB7VV4UV2Y7YMP2O5UTBPPR4PCKS346OQIE4BAS3ETCA,2022-01-11 08:43:34
Other Expense,,,,,.001000,ALGO,WLWW...3UFI,Network Operation Fees,ZSH5VT7UU4CYC4VIUW3H463ZQBNABJRLOTMGNBC3O5LPM2MWYBVA,2022-01-11 15:13:37
Staking,.000020,ALGO,,,,,WLWW...3UFI,Participation Rewards,R- T-ZSH5VT7UU4CYC4VIUW3H463ZQBNABJRLOTMGNBC3O5LPM2MWYBVA,2022-01-11 15:13:37
Other Expense,,,,,.001000,ALGO,WLWW...3UFI,Network Operation Fees,X46WIIOMSR7HWJSR7I4UII5TI4OGXQXXLRIPCDOTAW73GOEBLRCQ,2022-01-11 17:57:09
Staking,.000008,ALGO,,,,,WLWW...3UFI,Participation Rewards,R- T-X46WIIOMSR7HWJSR7I4UII5TI4OGXQXXLRIPCDOTAW73GOEBLRCQ,2022-01-11 17:57:09
Other Expense,,,,,.001000,ALGO,WLWW...3UFI,Network Operation Fees,GXFVVBXUZCT4NKADCPX6BQXOO34VZRHTADZQLTMKYKBD5ISLFT3Q,2022-01-12 14:51:43
Staking,.000058,ALGO,,,,,WLWW...3UFI,Participation Rewards,R- T-GXFVVBXUZCT4NKADCPX6BQXOO34VZRHTADZQLTMKYKBD5ISLFT3Q,2022-01-12 14:51:43
Other Expense,,,,,.001000,ALGO,WLWW...3UFI,Network Operation Fees,TH3AEIM322AOT3FVRLMZY7KHLKMMJE4ISV3VWREGVBMCSV5AYQCA,2022-04-10 18:36:16
Staking,.002422,ALGO,,,,,WLWW...3UFI,Participation Rewards,R- T-TH3AEIM322AOT3FVRLMZY7KHLKMMJE4ISV3VWREGVBMCSV5AYQCA,2022-04-10 18:36:16
Other Expense,,,,,.001000,ALGO,WLWW...3UFI,Network Operation Fees,T34MZOC7FUDWLUFJX5GTUUII2SRVMNDH6CLPSOQHF7EZU2VUOUXA,2022-04-10 18:37:52
Other Expense,,,,,.001000,ALGO,WLWW...3UFI,Network Operation Fees,56CHCWJQBXCOAUEGX2QWJJ2Z7NSNSETXEDW3CKRXKNWRS3ICWMXQ,2022-04-17 11:33:50
Staking,.000024,ALGO,,,,,WLWW...3UFI,Participation Rewards,R- T-56CHCWJQBXCOAUEGX2QWJJ2Z7NSNSETXEDW3CKRXKNWRS3ICWMXQ,2022-04-17 11:33:50
Deposit,2.000000,ALGO,,,,,WLWW...3UFI,,P27VWJ6ARFQON7CU5GOU7EYVYJXGEC4CRYKPXTKRVPK6CZOJMYIQ,2022-05-10 04:03:24
Staking,.000076,ALGO,,,,,WLWW...3UFI,Participation Rewards,R- T-P27VWJ6ARFQON7CU5GOU7EYVYJXGEC4CRYKPXTKRVPK6CZOJMYIQ,2022-05-10 04:03:24
Withdrawal,,,2.000000,ALGO,.001000,ALGO,WLWW...3UFI,,5YRZ6AWHPX6LENKQ5J4KV7F3UCQ757VPHPRW76SIWFB2QWKV74IA,2022-06-04 18:31:39
Staking,.000028,ALGO,,,,,WLWW...3UFI,Participation Rewards,R- T-5YRZ6AWHPX6LENKQ5J4KV7F3UCQ757VPHPRW76SIWFB2QWKV74IA,2022-06-04 18:31:39
Deposit,5.000000,ALGO,,,,,WLWW...3UFI,,J5WOHAQ2N3JAZRCBZ5J5JJIVRS6EQTCP6EM27TPEXHI6M2R6WN3A,2022-06-04 18:41:12
Other Expense,,,,,.001000,ALGO,WLWW...3UFI,Network Operation Fees,BOI777TTQBSXG5L6ZGFSA75YTYAT7BOAAFKSDQWBZVWDRUZYW7UQ,2022-06-04 18:43:18
Other Expense,,,,,.001000,ALGO,WLWW...3UFI,Network Operation Fees,U7XX76PMWENSTVGRN5NNDVBS3Q4Z27KJSYUBCKFUGQMQVQ7HPMLA,2022-06-04 18:44:32
Trade,35.839644,YLDY,.100000,ALGO,0.10784245937813353,YLDY,WLWW...3UFI,Tinyman: Trade,TF+8biA9fNL+fyUBWRO9/FHGZDrFUH6aGV9s8RKuywM=,2022-06-04 18:45:11
Other Expense,,,,,0.004,ALGO,WLWW...3UFI,Summed Group Network Fees,F-TF+8biA9fNL+fyUBWRO9/FHGZDrFUH6aGV9s8RKuywM=,2022-06-04 18:45:11
Deposit,.362016,YLDY,,,,,WLWW...3UFI,Tinyman: Pooled Slippage,jUNkiYamV7ORp9DbhTcS25DOtMQSkomV7rkna1q538o=,2022-06-04 18:45:33
Other Expense,,,,,0.003,ALGO,WLWW...3UFI,Summed Group Network Fees,F-jUNkiYamV7ORp9DbhTcS25DOtMQSkomV7rkna1q538o=,2022-06-04 18:45:33
Other Expense,,,,,.001000,ALGO,WLWW...3UFI,Network Operation Fees,4IG4DB753EBCYWQY7CO4ROZYRMSOK3ZPGAFJHGQLX2AGF4S3CEAA,2022-06-04 18:45:54
Trade,0.7379745,TMPOOL11,36.201657,YLDY,,,WLWW...3UFI,Tinyman: LP Mint,B0KSTQ5lJ2G4Zjzd/K1fJgSPg62BNO/jWs78wjkQeMc=,2022-06-04 18:46:20
Trade,0.7379745,TMPOOL11,.099700,ALGO,,,WLWW...3UFI,Tinyman: LP Mint,B0KSTQ5lJ2G4Zjzd/K1fJgSPg62BNO/jWs78wjkQeMc=,2022-06-04 18:46:20
Other Expense,,,,,0.005,ALGO,WLWW...3UFI,Summed Group Network Fees,F-B0KSTQ5lJ2G4Zjzd/K1fJgSPg62BNO/jWs78wjkQeMc=,2022-06-04 18:46:20
Deposit,.014909,TMPOOL11,,,,,WLWW...3UFI,Tinyman: Pooled Slippage,CQE9QtLKS9a6oJr/z70qOyY/NnTCOKTnvI8FM228oyk=,2022-06-04 18:46:38
Other Expense,,,,,0.003,ALGO,WLWW...3UFI,Summed Group Network Fees,F-CQE9QtLKS9a6oJr/z70qOyY/NnTCOKTnvI8FM228oyk=,2022-06-04 18:46:38
Trade,8.033230,goMINT,1.000000,ALGO,,,WLWW...3UFI,Pact: Fixed Input,+NfRRdfhExu91LWo0fi++PTYwWqMyQ9w+aAz7G5USkQ=,2022-06-04 18:50:45
Other Expense,,,,,0.004,ALGO,WLWW...3UFI,Summed Group Network Fees,F-+NfRRdfhExu91LWo0fi++PTYwWqMyQ9w+aAz7G5USkQ=,2022-06-04 18:50:45
Trade,1.409847,AF-POOL,8.03323,goMINT,,,WLWW...3UFI,AlgoFi: Zap,s0Nsmh2bXt5LLrGE1836o42wmz1fJ2sTXwrpVqohKT4=,2022-06-04 18:54:09
Deposit,.001255,ALGO,,,,,WLWW...3UFI,AlgoFi: Zap Slippage,I- G-s0Nsmh2bXt5L...   T-MYOKMNR7MW2T...,2022-06-04 18:54:09
Other Expense,,,,,0.011000000000000003,ALGO,WLWW...3UFI,Summed Group Network Fees,F-s0Nsmh2bXt5LLrGE1836o42wmz1fJ2sTXwrpVqohKT4=,2022-06-04 18:54:09
Trade,98.578469,ALGX,1.380000,ALGO,,,WLWW...3UFI,AlgoDex: Take Order,PSUxDR0kvSxvaKhj5eMrNR39GxNyOECD4FM4D8Q7ZOg=,2022-06-04 19:03:39
Other Expense,,,,,0.005,ALGO,WLWW...3UFI,Summed Group Network Fees,F-PSUxDR0kvSxvaKhj5eMrNR39GxNyOECD4FM4D8Q7ZOg=,2022-06-04 19:03:39
Trade,.117542,ALGO,8.578469,ALGX,,,WLWW...3UFI,AlgoDex: Take Order,6D8naC2Lh6hrv0OFPtHcPQ9/2WHcUjbOui4YLWldebc=,2022-06-04 19:07:08
Other Expense,,,,,0.004,ALGO,WLWW...3UFI,Summed Group Network Fees,F-6D8naC2Lh6hrv0OFPtHcPQ9/2WHcUjbOui4YLWldebc=,2022-06-04 19:07:08
Trade,100.00,STKE,1.377212,ALGO,,,WLWW...3UFI,AlgoFi: Fixed Output,jg9BGWTOnwdai2wSPAEdQguJUb2Hi4aEUXQ2NaLGYfE=,2022-06-04 19:11:41
Deposit,.006849,ALGO,,,,,WLWW...3UFI,AlgoFi: Trade Slippage,I- G-jg9BGWTOnwda...   T-FJAPMFHW445U...,2022-06-04 19:11:41
Other Expense,,,,,0.006,ALGO,WLWW...3UFI,Summed Group Network Fees,F-jg9BGWTOnwdai2wSPAEdQguJUb2Hi4aEUXQ2NaLGYfE=,2022-06-04 19:11:41
Other Expense,,,,,.001000,ALGO,WLWW...3UFI,Network Operation Fees,MUYYD6Z3DIBP74OUEX7WKUMKAN2NXPW4TXT72NQVY3TEIDGJCOOA,2022-06-04 19:13:08
Withdrawal,,,.500000,ALGO,,,WLWW...3UFI,AlgoDex: Make Order,Z/Q0Un0KkhZL7D8T5E7/uAxhBisAiAWBdhmX+j+dTk0=,2022-06-05 09:21:19
